horizontal_flip {'p': 0}
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.48
Round: 1000 f1_score: 0.3985491154045451
Round: 1000 average_Acc_f1: 0.43927455770227253


seed: 44, noise_scale: 1.5
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.52
Round: 2 f1_score: 0.34582088575852066
Round: 2 average_Acc_f1: 0.43291044287926034


Round: 5 Accuracy: 0.66
Round: 5 f1_score: 0.6369445251234389
Round: 5 average_Acc_f1: 0.6484722625617194


Round: 10 Accuracy: 0.698
Round: 10 f1_score: 0.69066378226008
Round: 10 average_Acc_f1: 0.69433189113004


Round: 20 Accuracy: 0.742
Round: 20 f1_score: 0.7392875476457059
Round: 20 average_Acc_f1: 0.740643773822853


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.482
Round: 1000 f1_score: 0.3252361673414305
Round: 1000 average_Acc_f1: 0.4036180836707153


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 2
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.684
Round: 5 f1_score: 0.6834935897435898
Round: 5 average_Acc_f1: 0.6837467948717949

.0
Round: 10 Accuracy: 0.696
Round: 10 f1_score: 0.6853471118177
Round: 10 average_Acc_f1: 0.6906735559088499


Round: 20 Accuracy: 0.728
Round: 20 f1_score: 0.7258771929824561
Round: 20 average_Acc_f1: 0.726938596491228


Round: 50 Accuracy: 0.482
Round: 50 f1_score: 0.3252361673414305
Round: 50 average_Acc_f1: 0.4036180836707153


Round: 100 Accuracy: 0.482
Round: 100 f1_score: 0.3252361673414305
Round: 100 average_Acc_f1: 0.4036180836 707153


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.484
Round: 1000 f1_score: 0.3295218295218295
Round: 1000 average_Acc_f1: 0.40676091476091475


seed: 43, noise_scale: 2
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.562
Round: 2 f1_score: 0.45078369905956117
Round: 2 average_Acc_f1: 0.5063918495297806


Round: 5 Accuracy: 0.696
Round: 5 f1_score: 0.6915584415584415
Round: 5 average_Acc_f1: 0.6937792207792207


